Abby/Abbey/Abbie	Abigail
Mildred	Milly
Millicent	Milly/Missy
Minerva	Minnie
Miranda	Mandy/Mira/Randy
Miriam	Mimi/Mitzi
Nancy	Nan
Natalie	Natty/Nettie
Olive/Olivia	Ollie/Nollie/Livia
Parmelia	Amelia/Melia/Milly
Patience	Pat/Patty
Patricia	Pat/Patty/Patsy/Tricia
Paula/Paulina	Polly/Lina
Penelope	Penny
Philinda	Linda
Priscilla	Cissy/Cilla/Prissy
Prudence	Prudy/Prue
Rachel	Shelly
Rebecca	Reba/Becca/Becky/Beck
Regina	Reggie/Gina
Relief	Leafa
Roberta	Bobbie/Robbie/Bert/Bertie/Birdie
Rosabel/Rosabella	Belle/Rosa/Rose/Roz
Rosalyn/Rosalinda	Rosa/Rose/Linda/Roz
Roseann/Roseanna	Rose/Ann/Roz/Rosie
Roxanne/Roxanna	Ann/Rose/Roxie
Sabrina	Brina
Sandra	Sandy
Sarah	Sally/Sadie
Selina/Celina	Lena
Serena	Rena
Shirley	Lee/Sherry/Shirl
Submit	Mitty
Susan/Susannah	Sue/Sukey/Susie/Hannah
Tabitha	Tabby
Theresa	Terry/Tess/Tessie/Tessa/Thirza/Thursa/Tracy
Tryphena	Phena
Valerie	Val
Vanessa	Nessa/Essa/Vanna
Veronica	Franky/Frony/Ron/Ronnie/Ronna/Vonnie
Victoria	Vicky
Virginia	Ginger/Ginny/Jane/Jennie/Virgy
Wilhelmina	Mina/Willie/Wilma/Minnie
Winifred	Winnie/Freddie/Winnet
Albert	Al
Andrew	Andy
Anthony	Tony
Arthur	Art/Arty
Bernard	Bernie/Bern
Charles	Charlie/Chuck
Christopher	Chris
Daniel	Dan/Danny
Donald	Don
Edward	Ed/Eddie
Eugene	Gene
Francis	Frank/Fran
Frederick	Fred/Freddy
Henry	Hank
Irving	Irv
James	Jim/Jimmy
Joseph	Joe
John	Jack/Jacky
Lawrence	Larry
Leonard	Leo
Nathan	Nat/Nate
Nicholas	Nick
Patrick	Pat
Peter	Pete
Raymond	Ray
Richard	Dick/Rick
Robert	Bob/Bobby/Rob
Ronald	Ron/Ronny
Russell	Russ
Samuel	Sam/Sammy
Stephan	Steve
Stuart	Stu
Theodore	Ted/Teddy
Thomas	Tom/Thom/Tommy
Timothy	Tim/Timmy
Walter	Walt/Wally
William	Bill/Billy/Will/Willy
Amanda	Mandy
Catherine	Cathy/Cath
Christine	Chris/Chrissy
Cynthia	Cindy/Cynth
Deborah	Deb/Debbie
Elizabeth	Betty/Beth/Liz/Bess
Florence	Flo
Frances	Fran/Francie
Janet	Jan
Katherine	Kathy/Kate
Janice	Jan
Nancy	Nan
Pamela	Pam
Patricia	Pat
Roberta	Bobbie
Sophia	Sophie
Susan	Sue/Suzie
Teresa	Terry
Valerie	Val
Veronica	Ronnie
Yvonne	Vonna
Bell/Bella/Belle	Arabelle/Anabelle/Belinda/Elizabeth/Isabel/Isabella/Mirabel/Rosabel
Belle	Mabel/Sybil
Bess/Bessie/Bessy/Beth/Bette/Bettie/Bettie/Betsy/Betsey/Bitsy	Elizabeth/Elisabeth
Bob/Bobby	Robert
Bobbi/Bobbie	Roberta
Boots	Bertha
Bridey/Brie	Bridget
Carrie/Carry	Caroline/Charlotte
Cindy	Cynthia/Cinthia/Lucinda
Daisy	Margaret
Delia	Adelia/Adele/Cordelia
Dick	Richard
Dobbin	Robert
Dode/Dody	Dorothy/Theodore
Dora	Dorothy/Eudora/Theodora
Ed/Eddie/Eddy	Edgar/Edmund/Edward/Edwin/Edwina
Effie/Effy	Euphemia/Evelyn
Eliza	Elizabeth/Elisabeth
Greta	Margaret/Margaretha
Ella/Ellie	Eleanor/Elenora
Fannie/Fanny	Frances
Frankie	Frances/Francis/Franklin
Genie	Eugenia
Ginger/Ginny	Virginia
Hal	Harold/Henry
Hank/Harry	Henry
Hattie	Harriet/Harriett
Hettie	Esther/Henrietta/Hester
Jack	John
Jamie	James/Jameson
Jenny	Jane/Janet/Jeanette/Jennett/Virginia
Jim/Jimmy	James
Jock/Johnnie/Johnny	John
Kate/Katie/Katy/Kay/Kit/Kitty	Katherine
Lena	Angelina/Helena/Magdalena/Paulina/Selena
Lisa/Lise/Liz/Lizzie	Elizabeth/Elisabeth
Lucy	Lucinda
Madge/Maggie/Midge	Margaret
Mamie	Mary
Marty/Martie/Mattie	Martha
May	Mary
Meg/Megan	Margaret
Millie/Milly	Amelia/Mildred
Moll/Mollie/Molly	Mary
Nell/Nellie/Nelly	Eleanor/Elenora/Ellen/Helen
Nora	Elenore/Elenora/Honora/Honoria
Ollie	Olive/Olivia/Oliver
Pat/Patsy/Patty/Pattie	Martha/Matilda/Patricia/Patience
Peg/Peggy	Margaret
Penny	Penelope
Polly/Pollie	Mary/Paula
Rich/Richy/Rick	Richard
Rob/Robbie/Robby	Robert
Robin	Robert/Roberta
Sadie/Sally/Sallie	Sarah
Sam/Sammy/Sammie	Samuel/Samson/Samantha
Sukie/Suchie/Suchy	Susan/Susanna/Susannah
Tad	Theodore
Ted/Teddy	Edward/Theodore
Theo	Theodore
Tilly	Temperance
Tillie	Matilda/Mathilda
Tina	Christina
Trina	Catherine/Katherine
Winnie	Winefred/Winifred
Chip	Charles
